,HFUEL,HHFAMINC,HOMEOWN,HHSIZE,YOUNGCHILD,HHVEHCNT,URBRUR,HTPPOPDN,PRICE,PLACE,R_AGE_IMP,R_SEX_IMP,EDUC,R_RACE,GT1JBLWK,OCCAT,CARSHARE,TIMETOWK,YEARMILE,VEHAGE
114314,0,2,1.0,2.0,0.0,2.0,1,3,3.0,4.0,55,1,5.0,1.0,0,4.0,0,2.0,5000.0,1.0
114324,0,2,1.0,2.0,0.0,2.0,0,6,4.0,4.0,55,0,3.0,1.0,1,4.0,0,10.0,25000.0,1.0
114428,0,5,1.0,4.0,0.0,2.0,1,3,4.0,3.0,53,0,4.0,1.0,0,4.0,0,25.0,16000.0,1.0
114468,0,5,1.0,1.0,0.0,1.0,0,3,3.0,3.0,51,0,5.0,1.0,0,2.0,0,15.0,10000.0,2.0
114472,0,2,1.0,2.0,0.0,2.0,0,2,2.0,3.0,26,1,3.0,6.0,0,4.0,0,20.0,20000.0,2.0
114476,0,5,0.0,7.0,2.0,2.0,1,4,4.0,4.0,47,1,3.0,2.0,0,3.0,0,30.0,10000.0,1.0
114480,0,3,1.0,1.0,0.0,2.0,0,6,3.0,3.0,29,1,3.0,1.0,0,2.0,0,15.0,6000.0,3.0
114488,0,3,1.0,2.0,0.0,3.0,0,2,5.0,5.0,53,1,3.0,1.0,0,4.0,0,40.0,25000.0,2.0
114496,0,2,1.0,2.0,0.0,2.0,0,6,2.0,4.0,24,1,3.0,1.0,0,4.0,0,10.0,30000.0,2.0
114501,0,3,1.0,1.0,0.0,1.0,1,1,2.0,1.0,56,0,3.0,1.0,0,4.0,0,50.0,20000.0,1.0
114518,0,5,1.0,1.0,0.0,1.0,1,4,1.0,1.0,46,1,3.0,3.0,1,1.0,0,8.0,3000.0,3.0
114523,0,3,0.0,2.0,0.0,2.0,1,1,4.0,3.0,61,0,3.0,1.0,0,2.0,0,12.0,19500.0,1.0
114532,0,5,1.0,3.0,1.0,2.0,0,6,3.0,4.0,65,1,3.0,1.0,0,1.0,0,45.0,18000.0,3.0
114539,0,5,1.0,5.0,1.0,2.0,0,3,4.0,4.0,59,1,3.0,1.0,0,3.0,0,6.0,10000.0,3.0
114560,0,4,1.0,4.0,1.0,3.0,1,5,4.0,3.0,51,0,3.0,1.0,0,4.0,0,35.0,2500.0,3.0
114574,0,5,1.0,2.0,0.0,2.0,1,2,4.0,2.0,41,0,5.0,1.0,0,4.0,0,12.0,7000.0,2.0
